Temperature (ÂºC);a(A);b(A);c(A);V(A3)
25;16.210(2);5.5552(8);10.041(1);904.2(2)
70;16.214(2);5.5582(8);10.048(1);905.5(2)
120;16.213(2);5.5644(8);10.053(1);906.9(2)
170;16.210(2);5.5692(7);10.067(1);908.8(2)
220;16.209(2);5.5749(7);10.077(1);910.6(2)
270;16.211(2);5.5819(6);10.088(1);912.9(1)
320;16.209(2);5.5861(6);10.098(1);914.4(1)
370;16.197(4);5.5897(10);10.109(2);915.3(2)
420;16.206(2);5.5962(8);10.120(1);917.8(2)
470;16.207(3);5.6016(8);10.131(1);919.7(2)
520;16.198(3);5.6064(9);10.142(2);921.0(2)
570;16.195(3);5.6120(8);10.152(2);922.7(2)
650;16.189(4);5.6223(8);10.173(2);925.9(2)
700;16.194(4);5.6233(9);10.180(2);927.1(2)
750;16.195(4);5.6282(9);10.184(2);928.3(2)