,Temperature (ÂºC),a(A),b(A),c(A),V(A3),a(A)_std,b(A)_std,c(A)_std,V(A3)_std,V/V0,V/V0_std
0,25,16.21,5.5552,10.041,904.2,0.002,0.0008,0.001,0.2,1.0,0.0008847600088476001
1,70,16.214,5.5582,10.048,905.5,0.002,0.0008,0.001,0.2,1.0014377350143773,0.0008853960340696206
2,120,16.213,5.5644,10.053,906.9,0.002,0.0008,0.001,0.2,1.0029860650298605,0.0008860809843087195
3,170,16.21,5.5692,10.067,908.8,0.002,0.0007,0.001,0.2,1.0050873700508736,0.0008870105596332111
4,220,16.209,5.5749,10.077,910.6,0.002,0.0007,0.001,0.2,1.0070780800707808,0.0008878912099406242
5,270,16.211,5.5819,10.088,912.9,0.002,0.0006,0.001,0.1,1.0096217650962176,0.0006678264831215296
6,320,16.209,5.5861,10.098,914.4,0.002,0.0006,0.001,0.1,1.0112806901128069,0.0006685603583777071
7,370,16.197,5.5897,10.109,915.3,0.004,0.001,0.002,0.2,1.0122760451227604,0.0008901906857433136
8,420,16.206,5.5962,10.12,917.8,0.002,0.0008,0.001,0.2,1.0150409201504091,0.0008914138111702762
9,470,16.207,5.6016,10.131,919.7,0.003,0.0008,0.001,0.2,1.0171422251714222,0.0008923433864947676
10,520,16.198,5.6064,10.142,921.0,0.003,0.0009,0.002,0.2,1.0185799601857997,0.0008929794117167883
11,570,16.195,5.612,10.152,922.7,0.003,0.0008,0.002,0.2,1.0204600752046007,0.0008938111370071227
12,650,16.189,5.6223,10.173,925.9,0.004,0.0008,0.002,0.2,1.023999115239991,0.0008953767375536346
13,700,16.194,5.6233,10.18,927.1,0.004,0.0009,0.002,0.2,1.0253262552532625,0.0008959638377585766
14,750,16.195,5.6282,10.184,928.3,0.004,0.0009,0.002,0.2,1.0266533952665338,0.0008965509379635186
