Temperature (ยบC);a(A);b(A);c(A);beta (ยบ);V(A3)
25;8.861(3);5.583(1);10.141(3);115.46(2);452.9(1)
100;8.860(3);5.590(1);10.159(3);115.50(2);454.1(1)
200;8.863(3);5.596(2);10.172(3);115.49(2);455.4(2)
300;8.873(3);5.604(1);10.185(3);115.56(2);456.9(1)
400;8.880(2);5.612(1);10.195(2);115.64(1);458.0(1)
500;8.881(2);5.619(1);10.210(2);115.67(1);459.2(1)
600;8.881(2);5.625(1);10.221(2);115.66(1);460.3(1)
650;8.884(2);5.630(1);10.235(2);115.68(2);461.3(1)
700;8.883(2);5.633(1);10.239(2);115.68(1);461.7(1)
800;8.893(2);5.639(1);10.249(2);115.72(1);463.0(1)
900;8.903(3);5.651(2);10.273(3);115.76(2);465.5(2)